%	tw
%	percent
21三体综合症	trisomi
21三体综合症	syndrom
3C	certif
3C	comput
3C	commun
3C	consum
3C	compulsori
3C	electron
3C	china
3C	abbr
3C	ccc
AA制	go
AA制	bill
AA制	split
AA制	dutch
AB制	one
AB制	main
AB制	either
AB制	larger
AB制	theater
AB制	unavail
AB制	replac
AB制	sum
AB制	bill
AB制	system
AB制	actor
AB制	two
AB制	counterpart
AB制	turn
AB制	portion
AB制	role
AB制	split
AB制	act
AB制	foot
AB制	male
AB制	take
A咖	grade
A咖	top
A咖	class
A圈儿	symbol
A片	pornographi
A片	adult
A片	movi
B型超声	ultrasound
B型超声	b
B型超声	type
B超	b
B超	xing
B超	sheng
B超	scan
B超	chao
B超	prenat
B超	ultrasonographi
B超	ultrasound
B超	mode
B超	abbr
C盘	default
C盘	comput
C盘	c
C盘	startup
C盘	drive
DNA鉴定	test
DNA鉴定	dna
E仔	mdma
E仔	c
E仔	h
G弦裤	string
G弦裤	g
G点	fenberg
G点	spot
G点	gr
G点	g
K仔	ketamin
K仔	slang
K他命	ketamin
K他命	h
K他命	c
K他命	clno
K他命	slang
K房	ktv
K房	room
K房	slang
K书	ken
K书	gnaw
K书	shu
K书	taiwanes
K书	kh
K书	su
K书	lit
K书	also
K书	see
K书	book
K书	cram
K书	taiwan
K书	studi
K歌	karaok
K歌	slang
K粉	ketamin
K粉	slang
M巾	menstrual
M巾	coll
M巾	pad
N档	neutral
N档	gear
OK绷	band
OK绷	tw
OK绷	aid
OK镜	elimin
OK镜	ok
OK镜	help
OK镜	nearsighted
OK镜	orthokeratolog
OK镜	myopia
OK镜	len
OK镜	order
OK镜	contact
OK镜	cornea
OK镜	reshap
O型腿	leg
O型腿	legged
O型腿	bow
P图	photoshop
P图	pictur
P图	slang
P图	internet
P档	program
P档	digit
P档	gear
P档	park
P档	camera
P档	mode
P民	polloi
P民	hoi
P民	shitizen
P民	slang
P民	common
Q	cute
Q	loanword
Q	chewi
Q	taro
Q	like
Q	mochi
Q	food
Q	etc
Q	pearl
Q	pleasant
Q	tapioca
Q	ball
Q	mouthfeel
Q	springi
Q	gel
T字帐	account
T字裤	underwear
T字裤	thong
T恤	shirt
T裇	shirt
USB手指	usb
USB手指	flash
USB手指	drive
USB手指	also
USB手指	see
USB手指	cun
USB手指	shan
USB手指	pan
USB记忆棒	usb
USB记忆棒	flash
USB记忆棒	drive
USB记忆棒	also
USB记忆棒	see
USB记忆棒	cun
USB记忆棒	shan
USB记忆棒	pan
U凸内裤	underwear
U凸内裤	men
U凸内裤	pouch
U凸内裤	contour
U凸内裤	brief
U型枕	travel
U型枕	pillow
U形转弯	turn
U形转弯	u
U盘	usb
U盘	flash
U盘	drive
U盘	also
U盘	see
U盘	cun
U盘	shan
U盘	pan
V沟	cleavag
V沟	reveal
V沟	d
V沟	collet
V沟	gulli
V沟	low
V沟	necklin
X光	x
X光	ray
○	real
○	use
○	name
○	variant
○	charact
○	substitut
○	english
○	ling
○	x
○	taiwan
○	like
〇	zero
〡	ma
〡	zi
〡	zhou
〡	numer
〡	system
〡	su
〡	suzhou
〢	ma
〢	zi
〢	zhou
〢	numer
〢	system
〢	su
〢	suzhou
〣	ma
〣	zi
〣	zhou
〣	numer
〣	system
〣	su
〣	suzhou
〤	ma
〤	zi
〤	zhou
〤	numer
〤	system
〤	su
〤	suzhou
〥	ma
〥	zi
〥	zhou
〥	numer
〥	system
〥	su
〥	suzhou
〦	ma
〦	zi
〦	zhou
〦	numer
〦	system
〦	su
〦	suzhou
〧	ma
〧	zi
〧	zhou
〧	numer
〧	system
〧	su
〧	suzhou
〨	ma
〨	zi
〨	zhou
〨	numer
〨	system
〨	su
〨	suzhou
〩	ma
〩	zi
〩	zhou
〩	numer
〩	system
〩	su
〩	suzhou
㐄	chines
㐄	charact
㐄	compon
㐄	mirror
㐄	zhi
㐄	imag
㐅	archaic
㐅	variant
㐅	wu
㐆	compon
㐆	chines
㐆	yin
㐆	charact
㐌	variant
㐌	ta
㐖	see
㐖	du
㐖	ye
㐖毒	archaic
㐖毒	india
㐜	variant
㐜	chou
㐡	nuo
㐡	archaic
㐡	variant
㐤	qiu
㐤	archaic
㐤	variant
㐫	xiong
㐫	variant
㐫	old
㐰	variant
㐰	old
㐰	xin
㐺	variant
㐺	old
㐺	zhong
㑇	clever
㑇	old
㑇	beauti
俊	jun
俊	variant
俊	old
㒳	variant
㒳	old
㒳	liang
㒸	archaic
㒸	variant
㒸	sui
罔	variant
罔	old
罔	wang
寇	variant
寇	old
寇	kou
㔾	radic
㔾	chines
㔾	charact
㔾	kangxi
㔾	seal
却	variant
却	que
却	old
厨	variant
厨	old
厨	chu
㕥	shen
㕥	variant
㕥	old
以	yi
以	variant
以	old
㕻	pr
㕻	also
㕻	pou
㕻	variant
㕻	tou
㗂	cantones
㗂	sheng
㗂	esp
㗂	variant
㗂	watch
㗂	tight
㗂	lip
㗂	scour
